,rating,brand_name,product_category,parent_category,idx_size,cost_usd,bow
11543,ab,balenciaga,tote bag,bag,12,801.71,papier a4 python tote beige exotic  snake papier a4 
11546,ab,bottega veneta,clutch bag,bag,6,457.12,knot python clutch bag brown exotic  snake knot clutch 
11564,b+,celine,satchel,bag,medium,506.34,trapeze python satchel brown exotic  snake trapeze bicolor 
12305,b,alexander wang,handbag,bag,13,268.28,leather rocco handbag dark green leather  calf rocco  
12306,ab,alexander wang,tote bag,bag,16,268.28,large nylon logo tote black fabric  nylon nylon tote 
12307,b+,alexander wang,bucket bag,bag,14,383.25,leather diego bucket bag dark brown leather  calf diego  
12308,ab,alexander wang,tote bag,bag,10,210.08,canvas tote bag black fabric  canvas canvas tote 
12309,ab,alexander wang,backpack,bag,14,324.23,lambskin trimmed nylon marti backpack black fabric  nylon marti  
12310,b+,alexander wang,crossbody bag,bag,6,138.94,lambskin brenda crossbody bag black leather  calf brenda crossbody 
12311,b+,alexander wang,crossbody bag,bag,7,287.31,calf leather attica chain crossbody bag black leather  calf attica  
12312,ab,alexander wang,boston bag,bag,10,310.43,calf leather rockie boston bag black leather  calf rockie  
12313,ab,alexander wang,boston bag,bag,10,264.44,calf leather rockie boston bag blue leather  calf rockie  
12315,b,alexander wang,handbag,bag,12,64.5,leather handbag black leather  calf leather handbag 
12316,ab,anya hindmarch,tote bag,bag,19,466.8,calf leather eyes ebury shopper blue leather  calf eyes ebury tote
12317,ab,anya hindmarch,satchel,bag,10,675.29,leather the stack double satchel black leather  calf the stack 
12318,b+,anya hindmarch,shoulder bag,bag,13,130.31,leather shoulder bag gray leather  calf leather shoulder bag
12319,ab,balenciaga,tote bag,bag,12,689.85,lambskin bazar shopper s multicolor leather  lambskin bazar shopper 
12320,ab,balenciaga,tote bag,bag,11,613.2,lambskin bazar shopper s multicolor leather  lambskin bazar shopper 
12321,ab,balenciaga,tote bag,bag,14,779.14,lambskin portfolio sac l black leather  lambskin portfolio sac l
12322,ab,balenciaga,tote bag,bag,13,827.82,lambskin supermarket shopper m pink leather  lambskin allover logo supermarket
12323,ab,balenciaga,crossbody bag,bag,mini,328.05,calfskin leather padlock mini all afternoon black leather  calf padlock all afternoon
12324,ab,balenciaga,satchel,bag,13,586.37,calfskin nude work xs black leather  calf padlock nude work
12325,b,bottega veneta,shoulder bag,bag,14,245.28,intrecciato nappa leather shoulder bag brown leather  others intrecciato shoulder bag
12326,b,bottega veneta,crossbody bag,bag,14,493.79,intrecciato nappa crossbody bag light blue leather  calf intrecciato crossbody 
12327,b,bottega veneta,shoulder bag,bag,10,343.39,intrecciato nappa shoulder bag beige leather  calf intrecciato shoulder bag
12328,b,bottega veneta,hobo bag,bag,13,411.61,intrecciato leather hobo bag blue nappa leather  intrecciato hobo bag
12329,b+,bottega veneta,tote bag,bag,16,703.65,intrecciato nappa leather cesta tote bag dark brown leather  others intrecciato cesta 
12330,ab,bottega veneta,tote bag,bag,14,689.85,goatskin madras sfumato brera bag black leather  goatskin madras sfumato brera
12331,b+,burberry,satchel,bag,12,278.64,house check canvas satchel brown fabric  canvas alchester check satchel
12332,ab,burberry,shoulder bag,bag,7,183.09,patent leather studded dawstring shoulder bag black leather  patent patent leather handbag
12333,ab,burberry,shoulder bag,bag,10,268.28,house check canterbury beige fabric  coated canvas supernova check canterbury
12334,b+,bvlgari,shoulder bag,bag,13,292.8,calfskin leather shoulder bag dark green leather  calf calf leather shoulder
12335,b,bvlgari,shoulder bag,bag,16,191.63,leather shoulder bag brown leather  calf calf leather shoulder
12336,b+,celine,handbag,bag,large,613.2,suede trapeze handbag white leather  calf trapeze tricolor 
12337,b+,celine,satchel,bag,medium,597.87,suede trapeze satchel black leather  calf trapeze bicolor 
12338,b+,chloe,satchel,bag,19,457.16,leather paraty satchel red leather  calf paraty  
12339,ab,chloe,satchel,bag,15,617.03,leather marcie handbag brown leather  calf marcie  
12340,b+,chloe,tote bag,bag,10,191.63,leather dilan beige leather  calf dilan  
12341,b+,chloe,tote bag,bag,12,199.29,leather alison dark brown leather  calf alison  
12342,ab,chloe,satchel,bag,13,317.64,leather paraty satchel pink leather  calf paraty  
12343,b+,chloe,tote bag,bag,13,175.53,leather alison black leather  calf alison  
12345,b+,chloe,crossbody bag,bag,mini,653.06,leather marcie crossbody bag black leather  calf marcie  
